status,website,license_validity,official_rep,name,telephone,address,email
Delisted,, to 8/13/1986,MR ALFREDO T MACABUHAY,ANM MERCANTILE , 571465 /  586328,"768-A GEN MALVAR COR VELASQUEZMALATE, MANILA",
Valid License,www.anscorswire.com,9/25/2015 to 9/24/2019,EDUARDO P. PERTIERRA,ANSCOR SWIRE SHIP MANAGEMENT CORPORATION,(02) 8472033 / 8472055 / 09178844451,"OFFICE 17 GF TWO-E COM CTR (TOWER B), BAYSHORE AVEPASAY CITY",info@anscorswire.com
Cancelled,, to 10/11/1984,MR JUAN DE IBAZETA,ANSCOR TRANSPORT & TERMINALS INC ,,"1098 SANCIANGCO ST OTISPACO, MANILA",
Delisted,,5/4/1998 to 5/2/2000,MR ANGELES R ROBIS,ANVIRO INCORPORATED ,5235080 / 5256765,S306 TRINITY BLDG 636 TM KALAW ST ERMITA,
Cancelled,NA,8/27/2008 to 8/27/2012,LEONIDA P. AZARCON,AP INTERNATIONAL STAFFBUILDERS INC,4809914/4151500,"2F DOORS 716-A B, BC APARTMENTS 716 EDSACUBAO, QUEZON CITY",APRECRUITMENT@HOTMAIL.COM
Delisted,,9/13/1997 to 9/12/1999,MR ANTONIO P MADRIGAL,AP MADRIGAL STEAMSHIP COMPANY INC , 402511 /  502515,6TH FLR MADRIGAL BLDG 286 ESCOLTAMANILA,
Delisted,,4/3/1989 to 4/4/1995,MS ANACORITA A PADILLA,AP PLACEMENT SPECIALISTS CENTER ,8128506 / 8128507,834 JP RIZAL COR ZOBEL STSMAKATI,
Delisted,www.apexpjil.com,12/21/2008 to 6/20/2009,SHARON JEAN GULMATICO,APEX AGENCY FOR PINOY EXCELLENCE CORP,4111544,"2F 150 BAYANI ST ARANETA SUBD BGY DONA IMELDAQUEZON CITY, QUEZON CITY",info@apexphil.com
Cancelled,www.agilaphilippines.com,1/14/2010 to 1/14/2014,SHARON JEAN G.  GULMATICO,APEX GRANDE INTERNATIONAL LABOR AGENCY,4892891 TELEFAX,U-D M/F ONE JOROMA PLACE CONGRESSIONAL AVE QCQUEZON CITY,info@agilaphilippines.com
Forever Banned,, to 9/11/1988,MR ANTONIO A ALTIVEROS,APEX MANPOWER SERVICES INC ,,MARIWASA BLDG GRD FLR 717 AURORA BLVDQUEZON CITY,
Delisted,,9/11/1986 to 9/11/1988,MR EMILIANO R CARUNCHO JR,APEX PHILIPPINES CONSTRUCTION & DEVELOPMENT CORPORATION,,"2F ASIAN PLAZA 1 CONDSALCEDO VILLAGE, MAKATI",
Valid License,www.aplusmanpower.com,6/1/2018 to 6/1/2020,ARNOLD C. ALDAY,"APLUS MANPOWER SERVICES, INC.",5502419,3/FLR. CORINTHIAN PLAZA PASEODEROXAS LEGASPI VILLMAKATI,aplus@aplusmanpower.com
Delisted,,3/18/1995 to 11/18/1995,MYRA TORRES,APOLLO OVERSEAS MANPOWER SERVICES ,,"MALGAPO ST. SAN VICENTE, GAPAN, NUEVA ECIJA",
Delisted,,7/5/1990 to 7/5/1992,MR ANTONIO P MADRIGAL,APOLLO PHILIPPINE MARITIME TECHNICAL SVS INC, 402511 /  402515,6TH FLR MADRIGAL BUILDING ESCOLTA MANILA,
Valid License,none,12/14/2018 to 12/14/2020,CLARITA B SANTOS,APP WORLDWIDE RECRUITMENT SERVICES INC,2304770,"RM 301-302 3F UNLAD CONDO 1665 TAFT AVE GEN MALVARMALATE, MANILA",appworlwiderecruitment2018@gmail.com
Valid License,www.apqships.com,11/22/2015 to 11/21/2019,VICENTE ALEX P QUILLOPE,APQ SHIPMANAGEMENT CO. INC.,400-4797/ 400-4798/ 0998-4870504,"2/F NFWC BLDG 962 ESCODA COR SAN MARCELINO STS.ERMITA, MANILA",apqships@philonline.com/ paulo@apqships.com
Valid License,www.aqiumagency.com,10/30/2015 to 10/29/2019,MAC T BORDALLO,"AQIUM INTERNATIONAL, INC.. FOR:ACQUIM INTL INC.",6365330 / 6332759 / 09178774688,"U-2A,3A&3B, 4K PLAZA BLG, 677 SHAW BLVDPASIG CITY",aqium_international@yahoo.com
Cancelled, None,12/16/2014 to 12/15/2018,GILBERTO P PINPIN,AQUA-GEM INTERNATIONAL MANPOWER CORP.,559-7427,"U301&402, AVE SQUARE GARDEN,532 U.N. COR J BOCOBOERMITA, MANILA",gilbert_pinpin@yahoo.com
Valid License,www.aqualinkmaritime.com,2/11/2017 to 2/10/2021,JORGINA L. ARCADIO,AQUALINK MARITIME INC,5260271 / 5366725,"S 601-A, 605-607 ERMITA CTR BLDG 1350 ROXAS BLVDERMITA, MANILA",aqualink@info.com.ph
Cancelled,, to ,MR MARCELINO T LIZASO,AQUARIUS ORIENT LOGISTICS INC , 704011 /  704041,DAVID BLDG 567 SHAW BLVDMANDALUYONG,
Delisted,,5/13/1988 to 5/13/1990,MR JAIME B PABALAN,AQUATIC LINER INC , 572335 /  503707,"4F ROYAL BAY TERRACES BLDG UN AVEERMITA, MANILA",
Valid License,www.aquavir.ph,1/5/2016 to 1/4/2020,MARY ROSE S LEMA,"AQUAVIR INTERNATIONAL, INC.",5518111/ 833-3793/ 09178322033,"4555 CASINO STPALANAN, MAKATI",queen01@aquavir.ph
Delisted,,6/22/1992 to 6/21/1994,MR EDWIN SANTELICES,AR & SONS INTERNATIONAL DEVELOPMENT CORPORATION,8182631 / 8151436,G/F MIDLAND COND BLDG 403 GIL PUYAT AVEMAKATI,
Valid License,N/A,2/18/2015 to 2/17/2019,EVA T BOTONA,ARAB PENINSULA MANPOWER SERVICES CORP,8342252 / 8348756 / 09186696911,"UNIT105 DO�A ADELA APT,2247 FB HARRISON ST.PASAY CITY",apms92@yahoo.com
Delisted, None,6/5/2003 to 6/4/2007,ROWENA P SHIMADA,ARABESQUE INTERNATIONAL RECRUITMENT ENTERPRISE,6875938/39,U205 PARC CHATEAU ONYX COR SAPHIRE ORTIGAS CTRPASIG CITY,tenten@infocom.com 
Delisted,,12/2/1987 to 12/2/1989,MS MA ELENA OMAR IBRAHIM,ARABIAN GENERAL SERVICES ,,RM 222 BUENDIA COMM`L CENTER 2125 TAFT AVEPASAY CITY,
Valid License,www.aramph.com,10/7/2015 to 10/6/2019,ALFREDO M. VARGAS 111,ARAM ENTERPRISES INC,4242574/ 4542577/ 7341957,"7F FEMS TWR I BLG 1289 ZOBL RXS AV SOUTH SUPR HWYMALATE, MANILA",aram_enterprises@yahoo.com
Valid License, None,4/27/2015 to 4/27/2019,DANILO C DEL CAMPO,ARANDREA MANPOWER SERVICES CO,405-1994/ 09202200503/ 09277616821,"GF 2F 3F VGC BLDG I 936 P. GIL COR F AGONCILLO STMALATE, MANILA",arandrea2015@yahoo.com
Cancelled,, to 2/16/1984,MS PILAR B ARANA,ARASER INTERNATIONAL MANPOWER SERVICES , 588243 / 5217388,"CARDINAL BLDG 1427 F.AGONCILLOMALATE, MANILA",
Valid License, None,7/28/2016 to 7/27/2020,JAIME C PORTUS,ARAW SHIPPING AGENCY INC,5220204 /5220877,"VILLA BLANCA BLDG, CABILDO COR BEATERIO STREETSINTRAMUROS, MANILA",sealink@sealink.com.ph/jcportus@sealink.com.ph
Delisted,,2/3/1987 to 2/3/1989,MR ANTONIO R BELTRAN,ARB PLACEMENT HOUSE RECRUITING AGENCY , 586888,508 UNLAD COND GEN MALVAR COR TAFT AVEMANILA,
Delisted, None,3/23/2000 to 3/22/2002,IRHAN RAY G RESUELLO,"ARC MANPOWER INTERNATIONAL, INC.",4541248,RMS. 306&308 L&S BLDG. 1414 ROXAS BLVD ERMITA ML, None
Valid License,www.my-archangel.com,8/27/2015 to 8/26/2019,ANGELICA F. LAPARAN,ARCHANGEL GLOBAL SOLUTIONS NCORPORATED(FOR. APOCALYPSE PLACEMENT FOR OVERSE,4131912/ 376-2106,"3/F, FSS BLG, 89 SCT CASTOR ST, BRGY LAGING HANDAQUEZON CITY",inquire@my-archangel.com
Delisted,,1/8/1994 to 1/7/1996,,ARCHERS PROMOTION & EMPLOYMENT AGENCY INC (FOR ARIES PROM & EMPLOY`T), 588843 /  587094,"2030 M.ADRIATICO STMALATE, MANILA",
Valid License,WWW.ARCHWAYINTL.COM.PH,10/14/2017 to 10/13/2021,RAFAEL REYES ABISAMIS,ARCHWAY INTERNATIONAL AND MARKETING SERVICES INC,551-1037,3F SKK BLDG 63-65 SEN GIL PUYAT AVE PASAY CITYPASAY CITY,ARCHWAYINTL.COM.PH
Valid License,www.arcticshipping.com.ph,5/4/2016 to 5/3/2020,FREDERICK C DOROMAL,ARCTIC SHIPPING CORPORATION,(632) 8969372/8960975/ 8963706/8968147/09188080806,"GF GOODWILL BLG #393 SEN GIL PUYAT AVE.MAKATI, MAKATI",asc@arcticshipping.com.ph
Valid License,N/A,4/21/2016 to 4/20/2020,FEDERICO T BALDOVINO JR,ARDCORP,4522616 / 09288730633/ 09278303466,"UNIT NOS. 3A, 3B, 3C & 3D, 3/F, KST BLDG, 1313 M.HERMITA, MANILA",ardcorp_manila8818@hotmail.com
Delisted,,11/8/1988 to 11/8/1990,ENGR PEDRO C MONTOYA,ARFLO CONSTRUCTION ENTERPRISES INC , 984255,"947 JOSEFA LLANES ESCODAERMITA, MANILA",
Delisted,,12/27/1993 to 12/27/1995,MS MARIEL T CASTILLO,ARGO INC ,,105 GREENHEIGHTS AVE G`HEIGHT VILL SUCAT PQUE,
Valid License,www.arixworld.ph,12/29/2017 to 12/28/2021,CHRISTIAN DAN O TAMAYO,ARIX WORLD MANPOWER CORPORATION,5211236/ 5426576/ 9590824/ 09175452997/09498837545,"520 T. ALONZO STREETMALATE, MANILA",recruitment@arixworld.ph
Delisted, None,10/25/2003 to 10/24/2007,ANTHONY P. NACINO,ARJAMS MANPOWER SERVICES,4001488,"2155-A TAFT BUS CTR BLG TAFT AVEMALATE, MANILA", None
Cash Bond Withdrawn,,7/19/1998 to 7/18/2000,CATHERINE D TUAZON,ARJECA INTERNATIONAL SERVICES AND ENTERPRISES,5618066,2210 REVELLIN ST COR TEJERON STA. ANA MANILA,
Delisted, None,3/26/2004 to 3/25/2008,CARINA V ESPINO-MITCHELL,ARJIE PLACEMENT SERVICES INC,8314093 / 8312126/ 5271103,"3417-D GUERNICA STPALANAN, MAKATI",cmitech@pldtdsl.net 
Valid License, None,1/26/2019 to 1/25/2023,JEAN MARIE YVETTE LOZANO,ARJOY`S HUMAN RESOURCES MANAGEMENT CORP. (FORMERLY ARJOY`S ENTERTAINMENT),2754014 / 3102301/ 09165502096,"3F & 4F (PORTION), HOLLYWOOD GARDEN BLG, 1709  A.MERMITA, MANILA",arjoys_main2010@yahoo.com
Valid License,N/A,4/7/2015 to 4/6/2019,HEDY LIZA U VANZUELA,ARK OVERSEAS HUMAN RESOURCE CORP,818-6516 / 09994165086,"RM 302, 3F, EXECUTIVE BLDG CTR, GIL PUYAT COR MAKAMAKATI",arkoverseas_hrc2011@ymail.com
Delisted,,6/19/1992 to 6/19/1994,LELINA AGUIRRE,ARKCOR INC , 886870 / 8163199,9598 KAMAGONG ST MAKATI CITY ,
Suspended, None,11/17/2015 to 11/16/2019,,ARKTIS MARITIME CORPORATION,5163850/713-4926,"G7, J&T BLG 3894 RAMON MAGSAYSAY BLVDSTA. MESA, MANILA",arktis@arktismaritime.com
Delisted, None,12/12/1996 to 12/11/1998,MR ASTERIO A LAGURA,ARL MANPOWER SERVICES INC.,9326290/9326291/9313974,ARL BLDG GLORIA 111 CASANOVA DRIVE T.SORA Q.C., None
Valid License,,4/20/2016 to 4/19/2020,CAPT ASTERIO LAGURA,ARL MARITIME SERVICES INC ,9313974 /9512334,ARL BLDG GLORIA 111 CASANOVA DRIVE T.SORA Q.C.,arl88@mindgate.net/caplagura@yahoo.com
Delisted,,11/26/2003 to 11/25/2007,TERESITA L ARTIL,ARLIMUR PROFESSIONAL SERVICES ,6871351/52,"U818,819&822 MEGA PLAZA  ADB AVE ORTIGAS CTR PASIG",
Valid License,www.armstrong-ph.com,1/21/2019 to 1/20/2023,MR DANILO P BESA,ARMSTRONG RESOURCES CORPORATION,7259584/7265486/8660977/09175247196/09999935663,"U- A&B (GF) & U-B (2F) LEELENG BLG,718 SHAW BLVD.MANDALUYONG",info@armstrong-ph.com/operations@armstrong-ph.com
Cancelled, None,8/16/2007 to 8/15/2011,RUTH O OBEDOZA,AROO INTERNATIONAL RECRUITMENT SERVICES INC,913-1043/437-2871,"#46 UNRUBIA ST.,PROJECT 4, QUEZON CITY",aroo_irs@yahoo.com 
Valid License,www.aroundtheworld.com.ph,7/30/2016 to 7/29/2020,MA. WILMA R. KHUDUR,AROUND THE WORLD MANPOWER SERVICES INC.,8895479/ 8894606/ 09985401459,"RM 204-205,2F NAF BLDG 2296 CHINO ROCES AVEMAKATI",atw@aroundtheworld.com.ph
Valid License, None,5/31/2018 to 5/30/2022,NATIVIDAD A. PAPPAS,ARPAPHIL SHIPPING  CORPORATION,8138870/ 813-8871,"U-GF-193, SALUSTIANA D.TY TWR, 104 PASEO DE ROXASLEGASPI VILLAGE, MAKATI",arpaphil@pldtdsl.net/arpaphil@yahoo.com
Cancelled,, to 10/27/1983,MR MANSUETO E GATERA,ARROW FREIGHT STEVEDORING , 475649 /  481172,SANTIAGO KM 16 MC ARTHUR HWAYVALENZUELA,
Cancelled,www.arrowheadmanpower.com,7/17/2008 to 7/16/2012,LUZVIMINDA T. RODRIGUEZ,"ARROWHEAD MANPOWER RESOURCES, INC.     ",3955930 TO 31 6347668,"U1 2F TOPY1 BLG ECONOMIA,BRY BAGUMBAYAN LIBIS QC", None
Delisted,, to 11/12/1987,MR ROBERTO A VIZCONDE,ARSE VIZMAR INDUSTRIES CORPORATION , 963607,217-B ROOSEVELT AVE SFDMQUEZON CITY,
Delisted,,6/27/2006 to 6/26/2010,MS CARMELITA PADERNAL,ART CYCLE INTERNATIONAL INC ,8990020/ 8997779 (telefax),"7504 BAGTIKAN STSAN ANTONIO VILLAGE, MAKATI",intelinc@info.com.ph
Cancelled,, to 10/31/1982,MR ERNESTO M MANAOIS,ARTEL MANAGEMENT & SERVICES INC ,,"901 J L ESCODA ST COR L GUINTOERMITA, MANILA",
Delisted, None,9/24/2011 to 9/23/2015,JULIUS LEO LAFORTEZA,ARTIST MANAGERS & PLACEMENT AGENCY OF THE PHILS INC (ASIARABE ENTERPRISES),831-0552 telefax,R301 TFT OFFICE CTR BLG 1986 TAFT AV COR P SAMONTEPASAY CITY,AMPAPHIL@TRI-ISYS.COM
Cancelled,NA,11/26/2004 to 11/26/2008,RODOLFO C. ARCEO,AR-ZEL MANAGEMENT SERVICES INC.(FOR: MEGASTAR MANAGEMENT SERVICES INC,4141752/4142195,"U201&204 HILLCREST COND 1616 E RODRIGUEZ AVEQUEZON CITY, QUEZON CITY",arzel@hotmail.com
Cancelled, None,10/1/2010 to 9/30/2014,MS MARIVIC G RESUELLO,ASAHI INTERNATIONAL MANPOWER CORP.,404-2436/404-2480,"S603,607&610 L&S BLDG 1414 ROXAS ERMITA MLA", None
Delisted,,6/15/2001 to 6/14/2003,CAPT ROQUE LLANES,ASAHI MARINE SERVICES INC ,5271021 / 5277432,"RM 405 4F PHOENIX BLDG RECOLETOSINTRAMUROS, MANILA",
Cancelled, None,12/22/2006 to 12/21/2010,CHRISTIAN D. TABIA,ASAP-PLACEMENT INTERNATIONAL CORPORATION,302-2353,"UA&B,12 &14,  ARQUIZA TRADE CTR  1214  ARQUIZA STERMITA, MANILA", None
Cancelled, None,10/2/2000 to 10/1/2002,MILDRED R SANTOS,ASBT INTERNATIONAL MANAGEMENT SERVICES INC,5238002 / 5238011,1120-1122 DOLMAR BLDG. UN AVE PACO MLA., None
Valid License,WWW.ASCGLOBALRECRUITMENT.COM,2/20/2019 to 2/19/2023,CRISTINA P. CASTANEDA,ASC GLOBAL RECRUITMENT INC (FORMERLY ARTIST SEARCH CORPORATION),753-1522,"18F TRIDENT TOWER 312 SEN GIL PUYAT AVEMAKATI, MAKATI",JOBS@ASCGLOBALRECRUITMENT.COM
Valid License,ascendmanila.com,1/23/2016 to 1/22/2020,AMOR C DESEPEDA,ASCEND INTERNATIONAL SERVICES INC,5232852/ 5233051/ 09087287997/ 09335230350,"RMS309 & 314 L&S BLG 1414 ROXAS BLVDERMITA, MANILA",ascend_intl.amor@yahoo.com
Valid License,www.ascentskills.com,11/22/2018 to 11/21/2022,LESLIE S VALENCIA,ASCENT SKILLS HUMAN RESOURCES SERVICES INC (FORMERLY AMITY PRODUCTIONS CORP,(02) 3103239 / 5020265,"UNITS 3 & 4, AGONCILLO TOWNHOMES II 1627 AGONCILLOMALATE, MANILA",ascentskills08@yahoo.com/ascentskills.ph@gmail.com
Cancelled, None,8/8/2010 to 8/7/2014,AIYTEE GREYCE S. SATO,ASEAN MANAGEMENT & TECHNICAL SERVICES INC,5244385,"RMS 415,417, 420 & 428 GEDISCO CTR 1564 A. MABINIERMITA, MANILA", None
Cancelled,, to 3/16/1985,MR LEONARDO L GUERRERO,ASEAN ROYALE AGENCIES ,,2440 PALM COURT COR HARRISONPASAY CITY,
Delisted,,11/10/1993 to 11/9/1995,MS LOREMIL T DESAMPARADO,ASIA APOLLO DEVELOPMENT CORPORATION (RA JOYA MANPOWER & GEN SERVICES),8191553 / 8191554,39 POLARIS ST BEL-AIR MAKATI CITY,
Delisted,N/A, to 2/2/1993,MR RAMON L LEDESMA,ASIA BULK TRANSPORT PHILIPPINES INC,6368101-05 / 09178387420,2F MGF CHAMPACA BLG AMORSOLO LEGASPI VILLMAKATI,asiabulkphil@gmail.com
Valid License,,8/31/2016 to 8/30/2020,ERNESTO T. TUVIDA,ASIA BULK TRANSPORT PHILS INC ,6368101 / 3600500,"U1005 & 1006 10F PARAGON PLAZA EDSA, MANDALUYONG",
Delisted,,2/19/1996 to 2/18/1998,KENNETH BUTT,ASIA EXECUTIVE RESOURCES INC , 871546 /  871548,TIERRA BLDG ANGONO COR OSMENAMAKATI,
Cancelled,NA,6/26/2002 to 6/25/2006,LORNA PIMENTEL,ASIA INTEGRATED MANAGEMENT SYSTEMS INC,4041963,"R404 AP BLDG 1563 AGONCILLO COR P GIL STSERMITA, MANILA",NA
Cancelled, None,10/9/2014 to 10/8/2018,,ASIA INTERNATIONAL BUILDERS CORPORATION,256-9482/ 09152828058/ 09954518666,"RM 501, DO�A FELISA SYJUCO BLDG, REMEDIOS COR TAFTMALATE, MANILA",aibcoffice2016@gmail.com
Delisted, None,4/4/2001 to 4/3/2003,MR FELIX R RAVELAS,ASIA INTERNATIONAL MULTI-SERVICES INC,8975510/ 8975511,"238-G CRUZ BLDG, P OCAMPO SR AVE.MAKATI", None
Cancelled,,10/27/2002 to 10/26/2006,BARBARA B FARRUGIA,"ASIA MED INTERNATIONAL MANPOWER, INC. ",,G/F & 2/F 1840-C VIR BLDG E RODRIGUEZ AVE QC,
Cancelled,,4/26/1985 to 8/10/1988,MR MAXIMO B PALARCA,ASIA PACIFIC INTEGRATED SERVICES & MANPOWER RESOURCES INC,,SUITE 900 V MADRIGAL BLDG AYALA AVEMAKATI,
Delisted, None,8/21/1994 to 8/21/1996,,ASIA PACIFIC MARIANAS MANAGEMENT RESOURCES CORPORATION (FOR GEMSTONE MGT RE,5216564 / 5213706,1365 LEON GUINTO ST MALATE MANILAMANILA, None
Valid License,www.asiareach.ph,8/26/2018 to 8/25/2022,ANTHONY G SISON,ASIA REACH INTERNATIONAL MANAGEMENT & CONTRACTOR SERVICES INC,3100881 local 110 / 09177133497,"SUITE 18-A,18F RAMON MAGSAYSAY CENTER 1680 ROXAS BMANILA",admin@asiareach.ph/ lizsison@asiareach.ph
Valid License, None,12/15/2018 to 12/14/2022,MA CLOUTILDE S. AGUILA,ASIA SYSTEM INC.,553-0282 / 890-9667 / 09178479135,UNIT 202 2FLR KBC BLG #352 JP RIZAL ST.MAKATI,asiasyslbs@gmail.com
Valid License,www.asiaworld.com.ph,1/11/2016 to 1/10/2020,EUGENIO T. REDIL JR.,ASIA WORLD CREW MANAGEMENT INC (FORMERLY PHILHELLENIC MARITIME INC),5218838/5218839/5211297,"SUITE D,5F, G.E.ANTONINO BLG,TM KALAW COR J BOCOBOERMITA, MANILA",asia.world2015@yahoo.com.ph
Valid License,www.asiaworld.ph,10/8/2015 to 10/7/2019,LEONARD A PASCASIO,ASIA WORLD RECRUITMENT INC,2410956 / 09267043809,"RM 1(RIGHT WING), 3/F, METROVIEW REAL ESTATE, 915 MALATE, MANILA",stevenbolilan@gmail.com/worldasia210@gmail.com
Delisted,,12/24/1998 to 12/22/2000,MS ANDRELYN N VENTURA,ASIA-MEGA MANPOWER RESOURCES CO. ,3035000,"2033 M.H.DEL PILAR,MALATE MANILA",
Delisted,,2/10/1987 to 2/10/1988,MR JAIME A FARRALES,ASIAN BULK TRANSPORT ,8161290 / 8161291,3F RODA ST LEGASPI VILL MAKATI CITY,
Delisted, None,4/20/1998 to 4/18/2000,NO ACKNOWLEDGED REP,ASIAN CENTER FOR CAREER AND EMPLOYMENT SYSTEMS AND SERVICES INCORPORATED,5271279 / 5271280,PHIL.HERALD BLDG 61 MURALLA ST INTRAMUROS MLAMANILA, None
Delisted, None,6/4/1985 to 6/3/1987,MR EDGARDO H ANGELES,ASIAN CONSTRUCTION & DEVELOPMENT CORPORATION,8906337 TO 38/8906359 TO 63,#16 JUPITER COR ANTARES ST BEL-AIR VILLAGEMAKATI,AK@ASIAKONSTRUKT.PH
Valid License, None,12/6/2013 to 12/5/2017,MR EDGARDO H ANGELES,ASIAN CONSTRUCTION & DEVELOPMENT CORPORATION,8906337 TO 38/8906359 TO 63,#16 JUPITER COR ANTARES ST BEL-AIR VILLAGEMAKATI,AK@ASIAKONSTRUKT.PH
Delisted,NA,11/27/2003 to 11/27/2004,EDGARDO H. ANGELES SR.,ASIAN CONSTRUCTION AND DEVELOPMENT CORPORATION,6817828,"KM 11 MARIANO MARCOS HIGHGWAY BRGY MAYAMOTANTIPOLO CITY, RIZAL",NA
Delisted,,1/11/1989 to 1/11/1991,MR ROMEO D ESPOS,ASIAN CRUISER SHIPPING AGENCY INC ,,"2028 F P.FLORENTINO STSAMPALOC, MANILA",
Cancelled,, to 4/9/1981,ATTY ARNALDO DIZON,ASIAN DESIGN CONSTRUCTION COMPANY (PHILS) INC, 973996,11 FULGENCIO ST SFDMQUEZON CITY,
Valid License,N/A,9/21/2018 to 3/20/2019,ROCKEFELLER B LALLAVE,ASIAN DREAM MANPOWER SERVICES INC,8320533/ 0998-8422436/ 0917-8504174(mobile),3F KING'S BLDG 2218 F B HARRISON ST COR WILLIAM STPASAY CITY,om@asiandreammanpower.com
Forever Banned,, to 2/28/1985,MS CORAZON CALIWARA,ASIAN INTERNATIONAL CONTRACTORS INC ,5216279,"558 GEN MALVAR STMALATE, MANILA",
Cancelled,www.aims-jobs.com,4/13/2012 to 4/12/2016,LUCENA P SAYO,"ASIAN INTERNATIONAL MANPOWER SERVICES, INC.",5274307/5231644/4007795,"2157 A&B TAFT BUSSINESS  CENTER TAFT AVEMALATE, MANILA",recruit@aims-jobs.com
Valid License, None,8/9/2017 to 8/8/2020,PAOLO C RODRIGUEZ,ASIAN MARINE TRANSPORT CORP,,"#38 GORORDO AVENUECEBU CITY, CEBU", None
Delisted,,11/10/1997 to 11/9/1999,MS EVELYN V FERRER,ASIAN PLACEMENT SERVICES ,,205 G PLANA ST BRGY STA LUCIASAN JUAN,
Delisted,,11/22/1988 to 11/12/1993,MR VIRGILIO L LEYEZA,ASIAN PRINCESS SHIPPING CORP ,5009011,UN AVE COR SAN MARCELINO ST MANILA,
Expired,,9/10/2000 to 2/21/2003,MR TRANQUILINO VENTURA JR,ASIAN PROSPERITY LINES INC. ,9293601 / 9293623,2F SN ANTONIO BLG WEST TRI ANGLE 1595 Q BLVDQUEZON CITY,
Delisted,,9/10/2000 to 9/9/2002,MR TRANQUILINO VENTURA JR,ASIAN PROSPERITY LINES INC. ,,U-C 2F SAN ANTONIO BLDG WEST TRIANGLE QUEZON CITY,
Forever Banned,, to 10/19/1991,MS CLAUDIA G NAGUNA,ASIAN STAR PLACEMENT COMPANY INC , 856277 /  882782,"8532 CAONG ST SAN ANTONIO VILLSAN ANTONIO VILLAGE, MAKATI",
Cancelled,, to 6/2/1984,MARIO L SAN BUENAVENTURA,ASIAN WATER & SEWERS SYSTEMS INC ,8171372 / 8171747,"GAMMON HOUSE 110 RADA STLEGASPI VILLAGE, MAKATI",
Valid License, None,3/25/2018 to 3/24/2022,DALISAY C. OHDATE,ASIANA SHIP MANAGEMENT INC,(032) 266-7475/0905-3259008,"2F BPI BLDG. GEN MAXILOM AVE EXTN NORTH RECLAMATIOCEBU CITY, CEBU",asiana_cebu@yahoo.com.ph
Delisted,NA,5/6/2010 to 11/5/2010,ALLAN P. TIMONERA,ASIAONE GLOBAL RESOURCES INC,7531377/7531379/7531376,"8F PDCP BANK CTR LP LEVISTE ST SALCEDO VILLMAKATI, MAKATI",NA
Cancelled,, to 4/21/1988,MS PAQUITA TANDOC,ASIA-PAC RESOURCES INC ,,"1401 M.ADRIATICO STERMITA, MANILA",
Denied Renewal, None,7/19/2001 to 7/18/2003,FELIX R RAVELAS,ASIATIC SEAFARERS AGENCY INC,,238A CRUZ BLDG P OCAMPO SR AVEMAKATI, None
Forever Banned,, to 5/7/1986,DR FLORANTE J ABAYA,ASIATICA DEVELOPMENT & SERVICES CORPORATION,,"1651 SAN MARCELINO STMALATE, MANILA",
Cancelled, None,7/26/2010 to 7/25/2014,ABDUL MOJEEB S ALINOG,ASKAR INTERNATIONAL MANAGEMENT & SERVICES,5227546/302-2368,"S1202B ERMITA CENTER BLG 1350 ROXAS BLVDERMITA, MANILA",fareast@747@yahoo.com 
Valid License,www.asmacsgroup.net,2/15/2019 to 2/14/2023,MARIA CHRISTINA C LIM,ASMACS RECRUITMENT SERVICES INC,4774406 / 09088867682,#426 BULALAKAW STREETMANDALUYONG,asmacs@asmacs.com.ph
Cancelled, None,8/21/2007 to 8/20/2011,NA,"ASMARA INTERNATIONAL PLACEMENT AGENCY, INC.",5244681-84,"GF JPLAUREL MEM.F. ROXAS BLVD COR P.GILERMITA, MANILA",asmara@pacific.com.ph 
Valid License,none,5/24/2018 to 5/24/2020,FLOR H. SARDIDO,ASMK INT'L. HUMAN SOLUTIONS CO.,3565734 / 09171478920,"4/F SJB PLACE, 1725 F. AGONCILLO ST. MALATEMANILA",asmkintlhumansolutionsco@gmail.com
Valid License,www.asmv.com.ph,3/7/2017 to 3/7/2021,VINCENT JOSEPH M. CAM,ASMV INTERNATIONAL MANPOWER INC.,3100296/ 09564767912/ 09193627335/ 09335878915,U715 ROYAL PLAZA TWIN TWR 648 REMEDIOS ST MALATEMANILA,asmvintlmanpowerinc@gmail.com
Valid License,www.crewships.com,6/1/2016 to 5/31/2020,VICENTE F ALDANESE JR,ASP CREW MANAGEMENT SERVICES INC (FORMERLY CMS CREW MANAGEMENT SERVICES INC,3107638 / 5240835 / 5240758 / 09178136871,"1820 LUIS MARIA GURERRO STMALATE, MANILA",manila@crewships.com
Delisted,WWW.ASPIREPHIL.COM,12/29/2006 to 6/29/2007,WILLIAM B. CHIONGBIAN II,ASPIRE PROFESSIONAL RESOURCES DEVELOPMENT INC.,5270772/5270779/5270419,"2/F PALACIO GRANDE BLDG.,GEN. LUNA COR. ANDA ST.,INTRAMUROS, MANILA",ASPIRE@CSI.COM.PH
Cancelled,, to 3/5/1985,MS ARSENIA PARUNGAO,ASSOCIATED MANPOWER PROMOTIONS & PLACEMENT CENTER INC,,882 JP RIZAL STMAKATI,
Delisted,,7/8/2001 to 7/7/2003,REYNALDO R RAMOS,"ASSOCIATES FOR ADVANCED CARE PHILIPPINES MANPOWER, INC.",8543872 / 8543780,"3F C-SIDE COMM`L CTR.R.BLVD & AGUARRA,BACLARAN,PQU",
