status,website,license_validity,official_rep,name,telephone,address,email
Valid License,www.euro-asiatic.com,8/22/2016 to 8/21/2020,ENRICO MARIANO H ATIENZA,"EURO-ASIATIC SHIPPING, INC.",(032) 266-7616/ 0917-8626858,"UNIT 1405, 14/F, KEPPEL CENTER, SAMAR LOOP COR CAR&amp;nbspCEBU CITY, CEBU",admin@euro-asiatic.com
Denied Renewal,NA,9/13/2004 to 9/13/2005,LUIS MIGUEL A. ZULUAGA,EUROBRIDGE SHIPPING AGENCIES INC.,8405075/8135618,4F RELIABLE BLG 7230 MALUGAY ST&amp;nbspMAKATI,NA
Cancelled,NA,11/12/2015 to 11/11/2019,ELLEN MARGARETHE U GHANEM,EUROKONSULT HUMAN RESOURCES INC,2412534/ 3536637,"RMS 709 &amp; 710, L &amp; S BLDG, 1414 ROXAS BLVD.&amp;nbspERMITA, MANILA",ehri2011@yahoo.com / wmg1973@yahoo.com
Cancelled, None,1/9/2003 to 1/8/2005,,EUROOSE MARITIME INTERNATIONAL CORP.(for. MALGERFIL MARITIME CORP),899-7481,BROFAR BLDG 7493 BAGTIKAN ST SN ANTONIO VILL&amp;nbsp, None
Cancelled,NA,10/28/2006 to 4/28/2007,LEONILA V. WILSON,EUROPA INTERNATIONAL RECRUITMENT SERVICES,(032) 4187133,"222,2F,CENTURY PLZA COMM.COMPLEX  JUANA OSMENA ST.&amp;nbspCEBU CITY, CEBU",NA
Delisted,,7/5/1998 to 7/3/2000,MR ROBERTO Y. ATENDIDO,EUROPAC TRADERS INTERNATIONAL INC ,8909121,U15 AURORA PLAZA 936 AURORA BLVD CUBAO  QC&amp;nbsp,
Delisted,,3/7/1989 to 3/18/1992,MS THELMA A MANUEL,EUROPHIL OCEAN LINES INC , 887451 / 8164875,3/F KING`S COURT BLDG 2129 PASONG TAMO MAKATI&amp;nbsp,
Valid License,NA,12/9/2017 to 12/8/2021,JOSE P. SANTOS JR.,EVERBEST OVERSEAS EMPLOYMENT AGENCY INC (FORMERLY EVERBEST MANPOWER SVCS),5363122/ 5259639/ 0917-5367473,"RM 406 PARAGON TOWER BLDG, 531 A.FLORES ST&amp;nbspERMITA, MANILA",everbest888@yahoo.com
Delisted,,8/26/1998 to 8/25/2000,CRISOSTOMO G VILLANUEVA,EVERETT MARITIME SERVICES INC ,5278961 / 3606900,RM501 BF CONDO. BDG. SORIANO COR SOLANA IN`MUROS&amp;nbsp,
Forever Banned,, to 2/10/1990,MR ARNOLD R DE VERA,EVERGREEN INTERNATIONAL MANPOWER INC ,,61 BRIONES BLDG SEN GIL PUYAT AVE MAKATI CITY&amp;nbsp,
Valid License,www.rlgroup.ph,5/28/2016 to 5/27/2020,ROLANDO ANTIPORDA CHUA,EVERLAST INTERNATIONAL PLACEMENTS INC.,8993923/ 8993911/0919-8106211,6/F (LEFT&amp; RT WING) RIZAL TOWERS 4474 SINGIAN ST&amp;nbspMAKATI,everlast.recruitment@yahoo.com
Valid License, None,2/19/2016 to 2/18/2020,MA. VICTORIA C. NICOLAS,EVIC HUMAN RESOURCE MANAGEMENT INC (FOR MOONRISE SHPG AGENCY CO LTD),4040297/4041064/4041757/4040292,"RMS. 102, 103 &amp; 104, GF S&amp;L BLDG 1500 ROXAS BLVD.&amp;nbspERMITA, MANILA",EVIC@EVIC.COM.PH
Delisted, None,7/20/2002 to 7/19/2006,MS GRACE M. CABRERA,EVM SKILLS MANAGEMENT SERVICES INC,8259973/ 8259975,GF&amp;2F ARMS CTR PASCUAL COMP DR A SANTOS AVE SUCAT&amp;nbspPARA�AQUE, None
Delisted,NA,8/26/2003 to 8/26/2007,MONTANO RUIZ GO JR.,E-WORLD STAFFING SERVICES,914-3000,STE 501 5/F DANAQUE BLG.OSMENA BLVD.&amp;nbspCEBU,NA
Valid License, None,8/3/2017 to 8/2/2021,EROS G. KAW,EXCEL GREEN KARD INTL INC,5245232/4003960,"G/F AND 2/F 620 REMEDIOS COR MA OROSA STS MANILA&amp;nbspMALATE, MANILA",excelgreenkardphilippines@gmail.com
Cancelled, None,1/16/2003 to 1/15/2007,ROMEO P. AGUILAR,EXCELLENT SEARCH INTERNATIONAL AGENCY CORP.,3385337,"U104&amp;112 Blg.2 Residencias de Manila,Pandacan&amp;nbsp",excellent search@hotmail.com 
Delisted,,2/18/1988 to 2/18/1990,MR SIMON Y QUETULIO,EXECUTIVE CARE SERVICES INC , 572598 / 5218584,43 MAYON ST MANDALUYONG CITY&amp;nbsp,
Delisted,, to 9/24/1984,MS ESTELA V KONG,EXECUTIVE MANPOWER EMPLOYMENT CORPORATION,,1788 DIAN STREET PALANAN MAKATI CITY&amp;nbsp,
Cancelled, None,3/4/2002 to 3/1/2004,TIMOTHY B TENORIO,EXODUS HR IMMIGRATION AND PLACEMENT OFFICE,,"R-209 407 &amp; 409 LYMAN OGILBY CENTRUM MAGSAYSAY AVE&amp;nbspBAGUIO CITY, BENGUET", None
Denied Renewal, None,9/4/1998 to 9/3/2000,LEONORA MAGAT,EXODUS PLACEMENT AND PROMOTION SERVICES INC,5211564,"1360-1370 G/F RENADAR BLDG L. GUINTO ST&amp;nbspERMITA, MANILA", None
Valid License,NA,12/4/2015 to 12/3/2019,RONALYN G ATONG,EXPEDITE MOVERS MANPOWER SERVICES,4137784/ 09496111469,RMS 201&amp;302 BENCOM BLDG 146 WEST  AVE&amp;nbspQUEZON CITY,expedite16@yahoo.com
Cancelled, None,3/26/2003 to 3/25/2007,OSCAR F ARABIT,EXPEDITION INTERNATIONAL PLACEMENT PHILS.,7152193,"#3353-D R. MAGSAYSAY BLVD., MANILA &amp;nbsp", None
Cancelled,NA,2/9/2011 to 2/9/2015,GLENN M. PEREA,EXPEDITOR INTERNATIONAL MANPOWER SERVICES CO,7367662,1991A WARDLEY BLDG TAFT AVE COR SN JUAN ST&amp;nbspPASAY CITY,expeditorinternational@gmail.com
Delisted,,11/28/1997 to 11/27/1999,NO ACKNOWLEDGED REP.,EXPERTISE SEARCH INTERNATIONAL INC (DBM INT`L MANPOWER SERVICES INC),5267976,CASA BLANCA BLDG 521-523 SALAS COR ADRIATICO MALAT&amp;nbsp,
Cancelled, None,10/19/2010 to 10/18/2014,CYNTHIA B. LLORENTE,"EXPERTS PLACEMENT AGENCY, INC.",4981365/ 0917-7242694,"RM 202 2F KIMVI BLDG 1191 MA OROSA ST&amp;nbspERMITA, MANILA",experts_placement@yahoo.com
Delisted,,12/2/1999 to 11/29/2001,MARICHU L ERMITANO,EXPLORER MANPOWER INTERNATIONAL ,3712795,39 PANAY AVE. QUEZON CITY &amp;nbsp,
Delisted,,2/27/1996 to 2/26/1998,MS WILMA F CORPUZ,EXPRESS PLACEMENT INTERNATIONAL CORPORATION,3539303 / 5246404,L6 BLK27 BURBANK ST NORTH FAIRVIEW Q.C.&amp;nbsp,
Delisted,,10/19/1995 to 10/18/1997,EMMA T JUMAQUIO,"EXQUISITE MANPOWER AND SERVICES CO., INC.",8338179,UNIT 302 JOLLILAND CONDO 670 PASAY CITY&amp;nbsp,
Delisted,,7/17/1988 to 7/17/1990,MR LIM PA,EXTRACO SHIPPING INDUSTRIES INC ,4613510 / 4703870,"SUITE 416 BPI BLDG PLAZA CERVANTES&amp;nbspSTA. CRUZ, MANILA",
Valid License, None,12/8/2017 to 12/8/2019,GASPAR E RANOCO,EXTREME VISION INT`L MANPOWER SPECIALIST CORP,09478916800,"U911-914 9F DE LEON CTR 1151 MH DEL PILAR ST&amp;nbspERMITA, MANILA",extreme.vision17@gmail.com
Valid License,N/A,5/9/2015 to 5/8/2019,EVELYN TORRES ADVINCULA,EXULTANT CREATIONS INC,(02) 8797266 / 09198282689,"RM. B, 2/F, ALFA BUILDING, 1541 M.H. DEL PILAR ST&amp;nbspERMITA, MANILA",exultantcreationsinc2018@gmail.com
Valid License,www.eqmanpower.com,9/1/2015 to 8/31/2019,ANNA MARIE L. NANGAN,EYEQUEST INTERNATIONAL MANPOWER SERVICES INCORPORATED,5219573/ 5232407/ 5363754/ 5218053,"302-305,308,311 (3F) AND UNITS 407,408,&amp;410 (4F), &amp;nbspMALATE, MANILA",annanangan@yahoo.com/anna@eqmanpower.com
Valid License,www.vinnen.com.ph,5/9/2017 to 5/8/2021,SALVADOR V TROMPETA JR,F A VINNEN PHILIPPINES INC,8438919,"7/F (PORTION), 2053 EDISON STREET&amp;nbspSAN ISIDRO, MAKATI",favp@vinnen.com.ph
Valid License,N/A,5/23/2016 to 5/22/2020,MADILYN I. CAGUIMBAL,F.I.R. INTERNATIONAL SERVICE CORP.,5249592/ 524-1303,"RMS 1 AND 2, (2F) &amp; 3/F FFW ANNEX BLDG, 1943 TAFT &amp;nbspMALATE, MANILA",admin@fir.com.ph
Delisted,,6/21/1994 to 12/21/1994,MS MARYANN MURASE,"F.K. MANPOWER & GENERAL SERVICES, INC. ",,SUITE A&amp;B CITY TOWER COND 810 AURORA BLVD CUBAO QC&amp;nbsp,
Suspended, None,3/8/2002 to 3/7/2004,FENNDHRA O. MAIDIN,"F.O. MAIDIN INTERNATIONAL SERVICES, INC. (FOR: JMJB INTL SVCS INC.)",8977950/ 7898498,7493 BAGTIKAN ST MAKATI CITY&amp;nbsp,fomaidin@edsamail.com.ph 
Cancelled,FB Acct FR_international2008@yahoo.com,6/17/2018 to 6/16/2022,NORMA B. USMAN,F.R. INTERNATIONAL PLACEMENT AGENCY INC,2546311/241-2065/ 0917-6315354,"U204 (RW), 2/F, AUSSIE TOWERS,1418 M.H. DEL PILAR&amp;nbspERMITA, MANILA",fr_international2008@yahoo.com
Inactive,, to ,MR FEDELITO AVANZADO,FA AVANZADO CONSTRUCTION COMPANY INC ,,SUITE 109 PALE BLDG ORTIGAS AVE M MANILA&amp;nbsp,
Delisted,,8/4/1988 to 8/4/1990,MR RAMON L BAGATSING JR,FA JUNIO CONSTRUCTION , 590781 /  584857,1845 SAN MARCELINO ST MALATE MANILA&amp;nbsp,
Cancelled,,9/23/1981 to 10/11/1992,HADJI ABDUL AZIS B DANSAL,FAAD MANPOWER SERVICES COMPANY , 594797,1428 SAN MARCELINO ST ERMITA MANILA&amp;nbsp,
Valid License, None,5/15/2016 to 5/14/2020,ROSARIO F CAPULONG,FAASI INTERNATIONAL CORPORATION,0910-318-1709,"UNITS 1 &amp; 2, 2F, ABALOS BLDG, ID-39, BETAG&amp;nbspLA TRINIDAD, BENGUET",faasi_latrinidad2012@yahoo.com
Valid License,www.fairship.com.ph,6/17/2017 to 6/16/2021,ENGR EDGAR C BARONDA,FAIR SHIPPING CORPORATION,5260636/ 5219929,"3/F &amp; 4/F FAIR BLG. 2079 MADRE IGNACIA ST.,MALATE&amp;nbspMANILA",fairship@fairship.com.ph / hrd-fsc@fairship.com.ph
Delisted,,7/31/1992 to 7/31/1994,MARCIANO G PRADO,FAIR TEAM PLACEMENT SERVICES INC. ,8127029 / 8195137,UNIT 1 &amp; 2 LOWER PENTHOUSE LEGASPI TOWERS PASEO&amp;nbsp,
Valid License,www.fairviewshippingcorp.com,9/22/2015 to 9/21/2019,SUSAN B GERARDO,FAIRVIEW SHIPPING AGENCY CORP,254-4639/ 5276540/4004400/ 09178383658/09189653151,"UNITS 5&amp;6, 1049 C. AYALA ST COR ARELLANO AVE&amp;nbspMALATE, MANILA",Info@fairviewshipping.com.ph
Delisted,NA,8/30/2009 to 8/29/2013,EDGAR B. MADULI,FAIRWAY MARINE INC,9297651/9286737,U306 RIZALINA II BLDG 1677 QUEZON AVE&amp;nbspQUEZON CITY,VANGUARD39@HOTMAIL.COM
Delisted,NA,9/2/2008 to 3/1/2009,RUBY P. MONTALBO,FAITH IN GOD RECRUITMENT & PLACEMENT INTERNATIONAL,(049) 5459290 TELEFAX,"4F U-E F G&amp;H CALAMBA EXEC CTR CROSSNG BGY I&amp;nbspCALAMBA CITY, LAGUNA",NA
Suspended, None,4/4/2016 to 4/3/2020,EDWIN J MAGARZO,FALCON MARITIME & ALLIED SERVICES INC,4042014/742-9235,"RM. 601, 6/F, SAN LUIS TERRACES, 638 T.M. KALAW ST&amp;nbspERMITA, MANILA",falcon.fmasi.mla@gmail.com
Delisted,,6/1/2001 to 5/31/2003,CRISPINA S NGUYEN,"FALCON RECRUITMENT AGENCY,INCORPORATED ",8319235 / 8319225,2340-2 FB HARRISON ST. PASAY CITY&amp;nbsp,
Forever Banned, None, to 11/27/1983,MR GUS G SANCHEZ,FAR EAST (INTERNATIONAL) BUILDERS & CONTRACTORS CORPORATION,5226414/5229972 TO 74/ 3032941,133 TOMAS MORATO AVE QUEZON CITY&amp;nbsp,fareastman81@edsamail.com.ph &amp; fareast@revelation.
Delisted,,6/20/1994 to 6/19/1998,MR EDGAR KROHN JR,FAR EAST MINERAL VENTURES INC ,8176895 / 8176846,608 THE MLA.BANK CORP BLDG 6772 AYALA AVE MKT&amp;nbsp,
Cancelled,, to 3/7/1977,MR ALBERTO D VELEZ,FAREAST MANAGERS & INVESTORS INC ,,FEMII BLDG ADUANA ST INTRAMUROS MANILA&amp;nbsp,
Inactive,, to 6/11/1983,MR DANILO A CHUA,FARGO SHIPPING COMPANY INC , 971257,CECILLEVILLE BUILDING 1203 QUEZON AVE QC&amp;nbsp,
Cancelled,, to 8/10/1985,MR GERONIMO FAJARDO,FARGON INC ,,874 MORET ST SAMPALOC MANILA&amp;nbsp,
Ceased Operations,www.farland.ph,1/4/2015 to 1/3/2019,ROMMEL S. ASUNCION,FARLAND PERSONNEL MANAGEMENT CORPORATION,5332639/ 09176817071,2F FSL BLG 15 SACREPANTE ST&amp;nbspMANDALUYONG,admin@farland.ph
Delisted, None,6/18/2003 to 6/18/2004,DR. LEONARD V. FAROCHILEN,FAROCHILEN NURSES PLACEMENT,937-8720/930-8562,46 FERDINAND ST. KINSPOINT SUBD. NOVALICHES QC&amp;nbsp, None
Delisted,,3/8/1998 to 3/6/2000,MR CHUA ENG CHUAN,FAST INTERNATIONAL CORPORATION , 586076,1136-1138 DOLMAR BLDG UN PACO MANILA&amp;nbsp,
Cancelled,WWW.FASTLINKSINTL.COM,1/17/2011 to 1/16/2015,MR FELERIO NAPENAS,FASTLINK INTERNATIONAL CORPORATION (FOR:CAPRICORN STAFFERS INTL CORP.),5263849/ 4043803,"6F M.G. BLG, 150 AMORSOLO ST,&amp;nbspLEGASPI VILLAGE, MAKATI",FASTLINKS_INTERNATIONAL@YAHOO.COM
Forever Banned,, to 3/25/1988,MR FEDERICO C ROXAS,FC ROXAS CONSTRUCTION CO ,,RM.212 MANUFACTURERS BLDG STA CRUZ MANILA&amp;nbsp,
Forever Banned,, to 3/20/1988,MR FERNANDO L EDRALIN,FE MANAGEMENT CONSULTANT , 596763,J.S. BLDG 920 P.GIL ST MALATE MANILA&amp;nbsp,
Delisted,,8/4/1988 to 8/4/1990,COL FLORENTINO B AGUILA,FEAGLE CONSTRUCTION CORPORATION , 858911,RM.322 TRADERS ROYAL BANK BLDG A.SORIANO INTRAMURO&amp;nbsp,
Cancelled,N/A,9/26/2015 to 9/25/2019,FENNDHRA O MAIDIN,FEDERAL OVERSEAS MANPOWER INC (FORMERLY LAVANDER INTERNATIONAL MANPOWER SER,586-2989/ 833-4744 / 09489044194,"3RD FLOOR, BROFAR BLDG., 7493 BAGTIKAN STREET&amp;nbspSAN ANTONIO VILLAGE, MAKATI",federaloverseas13@yahoo.com.au
Valid License, None,12/13/2017 to 12/13/2019,LEANDRO A APARENTE JR,FEHAN GLOBAL RECRUITMENT SERVICES INC,(032) 2662291/ 09163851377,"ROOM 203 9-2 N ESCARIO CORNER TOJONG STREETS&amp;nbspCEBU CITY, CEBU",info@fehanglobal.com
Delisted,,7/28/1998 to 7/27/2000,FELICITAS E IGNACIO,FEI PLACEMENT INTL AND MGT SERVICES ,5360739,NICE COMPOUND 2178 TAFT AVE MALATE MANILA&amp;nbsp,
Cancelled,www.feimsinternational.com ,9/6/2002 to 9/5/2006,MR ANTONIO T SANTOS,"FEIMS INTERNATIONAL MANPOWER SERVICES, INC. (for. FAR EAST INTERNATIONAL MA",3032941/ 4501372/ 5229972/ 5229973/ 5229974,"EKKSON BLG. 1709 A. MABINI ST&amp;nbspMALATE, MANILA", None
Forever Banned,, to 3/13/1986,MR EDILBERTO P MATOYA,FEM SERVICES INTERNATIONAL ,8151898 / 8151903,176 FERROS BLDG SALCEDO ST LEGASPI VILL MAKATI&amp;nbsp,
Valid License,www.femex.online,11/6/2018 to 11/5/2022,FIDELINA C. ATIYEH,FEMEX RECRUITMENT AGENCY INC,5366146/ 09173262528,"RMS 304, 305, 309 &amp; 311 GEDISCO CENTRE., 1564 A.MA&amp;nbspERMITA, MANILA",femex.online@hotmail.com
Valid License,philippines.ferrandinternational.com,1/7/2019 to 1/6/2023,SHELLA VITTO MACALINDONG,FERRAND HUMAN RESOURCES INTERNATIONAL,(02) 6252201/ 6558866/ 09989973764/ 09175557489,"U3101 JOLLIBEE PLAZA COND F ORTIGAS RD,ORTIGAS CTR&amp;nbspPASIG CITY",ferrand.international@gmail.com
Cancelled, None,5/7/2004 to 6/29/2008,FE C GO,FERRY INTERNATIONAL SERVICES CO,818-6993/95,"U62 LEGASPI S178 SALCEDO ST&amp;nbspLEGASPI VILLAGE, MAKATI", None
Inactive,, to ,MR FELIPE F CRUZ,FF CRUZ & COMPANY INC , 998726 /  998720,800 E.DELOS SANTOS AVE QUEZON CITY&amp;nbsp,
Cancelled, None,6/30/2006 to 6/29/2010,MR FERNANDO G DELA CRUZ,FGC AGGREGATE RESOURCES,410-5015 to 16,"2180 &amp; 2175-B ANGEL LINAO ST&amp;nbspMALATE, MANILA", None
Valid License,FB ACCOUNT: www.facebook.com/fgs.eastasia.14,11/17/2016 to 11/17/2020,LORNA CABALLERO-LACSA,FGS EAST ASIA TECHNICAL RESOURCE MANAGEMENT INC,(02) 6727879 / 09173196654 / 09171035199,"UNIT 2-B, ARO CENTRE, BUENCAMINO ST, ALABANG-ZAPOT&amp;nbspMUNTINLUPA",lclacsa@gsenc.com
Delisted,,2/13/1989 to 2/13/1993,CAPT DANILO NUNAG,FIDELITY MARINE INTERNATIONAL INC ,5215988 / 5215989,"S407,409 L&amp;S BLDG 1414 ROXAS BLVD ERMITA MLA&amp;nbsp",
Delisted,,11/29/1993 to 11/28/1995,MS CELIA L TAMBUNTING,FIDELITY OVERSEAS PLACEMENT SERVICES INC (FORMERLY LYRA OVERSEAS),,2127 A.MABINI ST ST.GOTHARD HSE MALATE MANILA&amp;nbsp,
Delisted,,8/8/1998 to 8/6/2000,ENGR ANGEL C CACHAPERO,FILAPEX MARITIME AGENCY INC ,5238758 / 5261728,"STE 1101 ERMITA CTR BLDG 1350 ROXAS BLVD, ERMITA&amp;nbsp",
Valid License,www.fil-crew.com,4/3/2018 to 4/2/2022,FRANCIS JOHN B DIPON,FIL-CREW MARITIME & OFFSHORE SERVICES INC.,5111599,"2440-C, G/F, PALM COURT ST  COR  F B HARRISON ST&amp;nbspPASAY CITY",francis.dipon@fil-crew.com
Forever Banned,, to 2/28/1985,MR ERNESTO L DELFIN,FIL-EAST CONSTRUCTION & TRADING CORPORATION,,RM.22 SAN LUIS BLDG COR OROSA &amp; TM KALAW ERMITA MM&amp;nbsp,
Valid License,www.filexpatplacement.com,7/2/2015 to 7/1/2019,MARK AMIELLE L DE OCAMPO,FIL-EXPAT PLACEMENT AGENCY INC,(02) 8463716/ 8326415/ 09175462274/ 09998893583,"R302 (3F) &amp; 403,  FSE BLDG 3671-73 BAUTISTA STREET&amp;nbspPALANAN, MAKATI",info@filexpatplacement.com
Delisted,,7/13/1981 to 8/1/1991,MR ROBERTO ROSALES,FIL-GER SHIPPING AGENCY INC ,,DOOR G 1144 PASONG TAMO ST MAKATI CITY&amp;nbsp,
Valid License,www.fil-gulf.com,6/11/2015 to 6/10/2019,TRINIDAD SAQUING CABASAG,"FIL-GULF MANPOWER & GENERAL SERVICES, INC.",6350545/6359956/ 0917-3018535,"UNIT 1203,  MANILA LUXURY COND, PEARL DRIVE COR GO&amp;nbspPASIG CITY",filgulf@gmail.com/info@fil-gulf.com
Cancelled,www.filhighgns.com.ph,5/7/2017 to 5/6/2021,ALMARIO P. DE LEON,FILHIGH-GNS INC. (FORMERLY FIL-HIGH INTERNATIONAL MANPOWER INC),2438288,"GF(RW&amp;LW) &amp; 2F, METROVIEW REAL ESTATE, 915 SAN ANT&amp;nbspMALATE, MANILA",leila_filhigh.process@hotmail.com
Valid License, None,11/11/2018 to 11/10/2022,LITO T. CUBILLAS,FIL-HR MANPOWER DEVELOPMENT & SERVICES SPECIALIST CORP.,5119994/ 2425977/ 8315745,"ROOM 701-A, GLC BLDG, T.M. KALAW STREET&amp;nbspERMITA, MANILA",filhrmanpower.makati@gmail.com
Inactive,, to ,MR FELIPE A CRUZ JR,FILIPINAS (PREFAB BLDG) SYSTEMS INC , 706559 /  705802,69 INDUSTRIA BAGUMBAYAN QUEZON CITY&amp;nbsp,
Forever Banned,,9/8/1988 to 9/8/1990,MR YADOLLAH NIKOU SICHANI,FILIPINAS ARABIA RESOURCES INC ,8184468 /  880781,2241 P.TAMO COR SABIO ST MAKATI CITY&amp;nbsp,
Valid License,N/A,12/4/2015 to 12/3/2019,ANTONIETTA S. BOADO,FILIPINAS KALAYAAN OVERSEAS SHIPPING INC,8899573 / 8993350 / 09175960736,"3 MASCARDO ST.BGY.SINGKAMAS, L A PAZ VILLAGE&amp;nbspMAKATI",calmocnopal@yahoo.com.ph
Delisted, None,8/29/2002 to 8/28/2004,PEDIE H. LORESTO,FILIPINAS MARINE CO INC,8924450/ 8173874,G/F MIDLAND MANSIONS BLDG 839 PASAY ROAD MAKATI&amp;nbsp, None
Delisted,, to 1/12/1994,,FILIPINAS PLACEMENT & PROMOTIONS CONSULTANTS INC,7329431,SUITE 406 A PENALOZA BLDG 1653 F.AGONCILLO ERMITA&amp;nbsp,
Delisted,,1/22/2001 to 1/18/2003,PASCUAL P DELOS REYES,FILIPINAS STAR EMPLOYMENT RESOURCES CORP.,4008577 / 4008558,U-D5 &amp; D6 ECHELON TWR CONDO 2100 MABINI MALATE&amp;nbsp,
Valid License, None,7/15/2018 to 7/14/2022,MARCUS C. VILLANUEVA,FILIPINAS-GLOBAL MULTI-SERVICES INC,8961043/ 8951415/,STES A-112&amp;205 STATE COND V GUADALUPE EDSA&amp;nbspMAKATI,filipinasglobal@yahoo.com/filglobal@gmail.com
Cancelled,NA,12/30/2008 to 6/29/2009,ANNALY B. CALARA,FILIPINO ACHIEVERS INTERNATIONAL PLACEMENT AGENCY,8623475,"B1 L9 RUPEE ST VILLA CAROLINA SUBD&amp;nbspTUNASAN, MUNTINLUPA",NA
Inactive,, to 1/11/1984,MR DAVID CONSUNJI,FILIPINO CONTRACTORS INTERNATIONAL CORPORATION,,650 SHAW BLVD MANDALUYONG CITY&amp;nbsp,
Delisted,www.ffnresources.com,4/21/2012 to 4/20/2016,ANNA CLARISSA V GALAN,FILIPINO FOREIGN NATIONAL RESOURCES CORPORATION (FORMERLY V.G. MIRANDA INTE,576-8364,"2F VILLA BLDG.,  78  JUPITER ST., BEL-AIR VILLAGE&amp;nbspMAKATI",clarissa@ffnresources.com
Delisted,,6/21/2000 to 6/20/2002,MS MARIA A LUMASAG,FILIPINO HUMAN RESOURCES DEVELOPMENT CENTER,5227514 / 5227513,RM301-A MERCHANT BLG.509 P. FAURA ERMITA MLA.&amp;nbsp,
Suspended,,7/7/1987 to 7/7/1995,,FILIPINO MANPOWER SERVICES CO ,8040353 / 8040354,"RMS 308-310,214 DIAMOND BLDG 156 LIBERTAD PASAY&amp;nbsp",
Forever Banned,, to 9/25/1989,MR JOSE A LEGASPI JR,FILIPINO MANPOWER SERVICES INC ,5211438,2028-D P.FLORENTINO ST SAMPALOC MANILA&amp;nbsp,
Inactive,, to 2/2/1984,ATTY PABLO M SILVA,FILIPINO PIPE & FOUNDRY CORPORATION ,,69 CORONADO ST BO.HULO MANDALUYONG CITY&amp;nbsp,
Forever Banned,, to 10/19/1985,MR PEDRO T OLEA,FILISYN INTERNATIONAL CONSTRUCTION & TRADING,9225902,56-D ANONAS ST COR LANZONES ST PROJECT 2 QC&amp;nbsp,
Delisted,, to 10/19/1993,CAPT CESAR P CARANDANG,FIL-JAPAN SHIPPING CORPORATION ,,2ND FLR MARY BACHRACH BLDG COR 25TH ST PORT AREA&amp;nbsp,
Delisted,, to 5/24/1993,MS IRENE D DEL ROSARIO,FILKO MARITIME INC PHILIPPINES ,9216479,140 PANAY AVE QUEZON CITY&amp;nbsp,
Delisted,NA,6/21/2006 to 6/21/2007,BRANDO G. LODRIGA,FILMA MANAGEMENT CORPORATION,3010204 TELEFAX,"RMS 106-107 MEZZANANINE FLR PHOENIX BDG RECOLETOS&amp;nbspINTRAMUROS, MANILA",NA
Cancelled, None,7/8/2003 to 7/7/2007,MS MINERVA E BASILIO,"FIL-MALAY RECRUITMENT AGENCY, INC.",5245596/ 5245596,"401 AP BLDG 1563 AGONCILLO&amp;nbspERMITA, MANILA",filmalay@yahoo.com 
Delisted,,3/30/1996 to 3/29/1998,MR REYNALDO G ESCONDO,FIL-MAN EXPORT AND PROMOTION SERVICES INC,5219135 / 5360044,GF 3 RENADAR BLDG 1360-1370 L. GUINTO ST ERMITA ML&amp;nbsp,
Valid License,NA,7/2/2017 to 7/1/2021,MACARIO E. DELA PENA,FIL-MARITIME TRAVELERS INC (FORMERLY : ORIENT LINE PHILIPPINES INC),3090542/3090543,"S1208 ERMITA CTR BLDG 1350 ROXAS BLVD MANILA&amp;nbspERMITA, MANILA", None
Delisted,,6/8/1996 to 6/7/1998,ENGR JAIME C EVORA,FIL-NPC RESOURCES , 877269 /  871668,POBLACION NAGA METRO CEBU &amp;nbsp,
Valid License, None,10/27/2018 to 10/26/2022,JOSE F. MENESES,FIL-OVERSEAS EMPLOYMENT SERVICES INC (FOR FILTRUST OV`SEAS EMP A`CY INC),(02) 478-8546 to 49/ 478-8547/ 478-8548/ 478-8549,"2F SO BROS BLDG 8203 DR.S`TOS AVE SUCAT&amp;nbspPARA�AQUE CITY, PARA�AQUE",info@fil-overseas.com.ph
Delisted, None,11/5/2006 to 11/4/2010,ELENITA M. MARAMARA,FILPOWER SKILLS CONSULTANTS INC (FOR MARISTAR SPECIALISTS INC),(6332)3442411/3442776/3467022,"1991-B, J WARDLEY BLG, TAFT AVENUE COR SN JUAN&amp;nbspPASAY CITY",FILPOWER8@YAHOO.COM.PH
Delisted,,2/8/1996 to 2/6/1998,ANGELO D TONG,FILPRIDE INDUSTRIAL CORPORATION ,,2455 BELARMINO ST BANGKAL MAKATI CITY&amp;nbsp,
Delisted, None,10/14/2007 to 10/13/2011,FELIPE T. DECENA,FIL-PRIDE SHIPPING COMPANY INC,7160825 / 7160176,SUITE 204 J &amp; T BLDG 3894 R.MAGSAYSAY STA.MESA&amp;nbsp, None
Valid License,,6/10/2013 to 6/15/2016,MS. ARLEEN V. ASUNCION,FILSCAN SHIPPING INCORPORATED ,5279980 / 3608800,2F HARBOR CTR II RAILROAD &amp; CHICAGO SOUTH HARBOR&amp;nbspMANILA,
Cancelled,NA,7/22/2011 to 7/22/2015,,FILSCANDIA MANPOWER RECRUITMENT SERVICES INCORPORATED,3383760,"6/F TCT BLDG IZNART STREET ILOILO CITY&amp;nbspILOILO CITY, ILOILO",NA
Cancelled,,4/21/1998 to 4/19/2000,MR VICENTE O NOVALES,FIL-SERVICES CONTRACTOR & TRADING CORP ,8231942 / 8385301,VETERANS INDUSTRIAL ESTATE TAGUIG METRO MANILA&amp;nbsp,
